team_id_master,team_name,club_name,age_group,gender,notes
8ddb40a8-b030-4297-ba94-fef2f7809726,ECNL RL B13,Kansas City Athletics,u13,Male,Club not found in database or club has no state_code
63c06cf3-4deb-418a-994d-b0ebfe9a5b05,ECNL RL B08/07,Lobos Rush,u18,Male,Club not found in database or club has no state_code
3c9795c1-8153-4067-9f8c-3caa04bfdfd3,ECNL RL B09,Tupelo FC,u17,Male,Club not found in database or club has no state_code
cc664e7a-ad76-4651-a0d3-8ebe2b4df276,ECNL RL B10,Tupelo FC,u16,Male,Club not found in database or club has no state_code
ec801e97-3735-45f0-b3b6-2641dcbfa3ba,ECNL RL B10,Chattanooga Red Wolves SC,u16,Male,Club not found in database or club has no state_code
91a4dd8d-2fed-4ff8-b95f-754e3e2623fe,United ECNL RL B11,Mississippi Rush,u15,Male,Club not found in database or club has no state_code
4d61aca8-f65c-41e2-9699-2849064843bd,United ECNL RL B12,Mississippi Rush,u14,Male,Club not found in database or club has no state_code
352330ee-a23e-4b1f-be6b-37b231462fd1,ECNL RL B12,Chattanooga Red Wolves SC,u14,Male,Club not found in database or club has no state_code
dd98b331-237e-4306-b83a-eb45267148c3,ECNL RL B12,FC Alliance,u14,Male,Club not found in database or club has no state_code
f69f0824-be19-43a3-b41b-14e6d43a3517,ECNL RL B13,Lobos Rush,u13,Male,Club not found in database or club has no state_code
0caf8bef-a884-49e8-baec-940ce8b5936d,ECNL RL B12,Indiana Elite FC,u14,Male,Club not found in database or club has no state_code
e2fc8c39-a08e-4992-8e4e-3086faeeaace,ECNL RL B12,Chicago Inter Soccer,u14,Male,Club not found in database or club has no state_code
d73a3ce6-eed0-4605-9108-ec9dfc2e7f3d,ECNL RL B13,St Croix Soccer Club,u13,Male,Club not found in database or club has no state_code
31aa51af-0d8d-437f-a394-0d76fb17d69b,Utah Surf ECNL RL B08/07,Utah Surf Soccer,u18,Male,Club not found in database or club has no state_code
9c176f67-810c-4a73-8045-5e645b315946,ECNL RL B10,Coastal Rush,u16,Male,Club not found in database or club has no state_code
fd92055d-aeb8-4059-8452-57d4e2332a27,El Paso Locomotive ECNL RL B11,El Paso Locomotive Youth Soccer Club,u15,Male,Club not found in database or club has no state_code
fd1cc0e2-4761-466f-9dfe-02cb5f05506f,Sheriffs FC ECNL RL B08/07,Sheriffs Futbol Club,u18,Male,Club not found in database or club has no state_code
5a3cfdef-a5a1-4b70-bb29-87cab1de1d83,Minnesota Thunder ECNL RL B12,Minnesota Thunder Academy,u14,Male,Club not found in database or club has no state_code
c297162f-257b-409b-9928-524dffedf345,Utah Surf ECNL RL B09,Utah Surf Soccer,u17,Male,Club not found in database or club has no state_code
107174af-0af2-449b-b170-0485db69a576,El Paso Locomotive ECNL RL B10,El Paso Locomotive Youth Soccer Club,u16,Male,Club not found in database or club has no state_code
794f26fc-477d-4829-8c7d-b6f42aee08e0,ECNL RL B13,Germantown Legends,u13,Male,Club not found in database or club has no state_code
367dd16c-4fb5-4055-bf7e-d0ed9237ec5a,Pride SC ECNL RL B12,Pride Soccer Club,u14,Male,Club not found in database or club has no state_code
0702227d-54f4-4444-8120-4ee1e95e374f,Pride SC ECNL RL B13,Pride Soccer Club,u13,Male,Club not found in database or club has no state_code
e7185e09-fd70-4adb-aaa9-2689814f495a,ECNL RL B13,FC Stars,u13,Male,Club not found in database or club has no state_code
8b79b37d-93bc-4af8-87a6-759ae2e5add7,El Paso Locomotive ECNL RL B13,El Paso Locomotive Youth Soccer Club,u13,Male,Club not found in database or club has no state_code
a00c7a24-89e6-4a89-819c-72209a5cd5b0,Utah Surf ECNL RL B11,Utah Surf Soccer,u15,Male,Club not found in database or club has no state_code
333d6c1c-8c44-4f1b-82b1-483767700636,El Paso Locomotive ECNL RL B12,El Paso Locomotive Youth Soccer Club,u14,Male,Club not found in database or club has no state_code
86981f9a-4d24-43df-ae9f-646de1d1049b,Utah Surf ECNL RL B13,Utah Surf Soccer,u13,Male,Club not found in database or club has no state_code
88265ec4-438e-495d-8a69-300a19eae045,Revolution FC ECNL RL B08/07,East County Revolution FC,u18,Male,Club not found in database or club has no state_code
6b0566c6-5a9f-4afb-a274-58b4bc7a8c83,ECNL RL B12,Scorpions SC,u14,Male,Club not found in database or club has no state_code
31f45c54-9341-4d0a-90b6-7cc0d12e6a65,ECNL RL B12,FC Stars,u14,Male,Club not found in database or club has no state_code
523c9839-60a2-4805-ae59-13596a32a16c,Sheriffs FC ECNL RL B09,Sheriffs Futbol Club,u17,Male,Club not found in database or club has no state_code
84423393-8d29-4319-b66a-de92945ff03c,Legends FC ECNL RL B09,Legends FC NorCal,u17,Male,Club not found in database or club has no state_code
d1dd633a-1781-409a-9d41-1d2671d901a6,Revolution FC ECNL RL B09,East County Revolution FC,u17,Male,Club not found in database or club has no state_code
f0cca5e5-f187-48fc-9590-bdfc5ff9d09b,ECNL RL B13,PSA Monmouth,u13,Male,Club not found in database or club has no state_code
