team_id_master,team_name,club_name,age_group,gender,state,state_code,provider_team_id,notes
da27ef81-d949-4cf2-8075-9378f7af528b,Los Angeles Soccer Club U16,Los Angeles Soccer Club,u16,Male,,CA,1273,
f3b6154e-a509-4417-9151-3b3e45cf9fc7,Western Washington Surf SC U16,Western Washington Surf SC,u16,Male,,WA,909,
496dafe1-c062-403d-8be4-7ed4caddac8f,McLean Youth Soccer U16,McLean Youth Soccer,u16,Male,,VA,187,
5f3ac12d-0c3a-4a37-9ad4-aefda72baa8c,Alexandria SA U16,Alexandria SA,u16,Male,,VA,373,
b51cfdbb-0dea-4e03-bfc2-e5b2346afa5c,Shattuck-St. Mary's U16,Shattuck-St. Mary's,u16,Male,,MN,81,
26569307-ea9e-4c1b-a644-5c76345d5f0d,Toronto FC U16,Toronto FC,u16,Male,,,106,
40e97e54-d6f7-4e40-80ae-4ef676af92e1,Virginia Rush U16,Virginia Rush,u16,Male,,VA,1295,
24b895a3-2b76-4326-b872-211c28226a61,Sozo FC U16,Sozo FC,u16,Male,,WA,1337,
0ae59030-7b7d-4897-9b88-f32a3b63f6c4,Louisiana Elite SP U16,Louisiana Elite SP,u16,Male,,LA,1419,
dac9d616-affb-4f8f-b2a8-47719f24047e,New England Revolution U16,New England Revolution,u16,Male,,MA,27,
111f39d8-28d6-471e-8b80-b7259f3b4213,Manitou F.C. U16,Manitou F.C.,u16,Male,,MN,933,
4c332cec-f9a9-43ae-acf7-c7df9839156c,Grand Junction Soccer Club U16,Grand Junction Soccer Club,u16,Male,,CO,1344,
4ac2bbcf-3c38-4214-b9fc-0f2021fc8a70,Springfield SYC U16,Springfield SYC,u16,Male,,IL,372,
412e2860-2244-4786-9363-5a5dcb932f86,Inter Atlanta FC U16,Inter Atlanta FC,u16,Male,,GA,383,
92a804f6-afd6-4e23-8c41-cea0b04570fc,Lexington SC U16,Lexington SC,u16,Male,,KY,562,
afa8ea3e-8b50-4c09-a72c-88cad2679697,Minneapolis United SC U16,Minneapolis United SC,u16,Male,,MN,1317,
37a32b63-753d-4bdd-bbf7-2eb5c4a9af22,FC Greater Boston Bolts U16,FC Greater Boston Bolts,u16,Male,,MA,67,
8738e135-beaf-4a6f-aa55-99437479e36b,Keystone FC U16,Keystone FC,u16,Male,,PA,1139,
249c65a6-366a-4bd2-8c07-c55dc210bca4,Baltimore Armour U16,Baltimore Armour,u16,Male,,MD,54,
97f656fa-ac16-4ea2-9505-630adead8f1a,The Town FC Academy U16,The Town FC Academy,u16,Male,,CA,461,
4f268b77-cb20-40a5-a6d9-742431b6d709,Tampa Bay United U16,Tampa Bay United,u16,Male,,FL,387,
96b46a5d-96f0-4002-b89c-bb4091e62681,Vancouver Whitecaps FC U16,Vancouver Whitecaps FC,u16,Male,,WA,15,
2592fafa-74b8-4ed4-b98a-f06d9212ecc1,Diablo Valley Futbol Club U16,Diablo Valley Futbol Club,u16,Male,,CA,name:diablo-valley-futbol-club,
ae8e1e41-ac96-4a92-81e7-ee5d0a9cd92d,Carolina Velocity FC U16,Carolina Velocity FC,u16,Male,,NC,1296,
4b9a6fff-7567-46af-bd58-49eb5412a970,SoCal Reds FC U16,SoCal Reds FC,u16,Male,,CA,566,
48ad435f-0e78-4abd-8874-8bd2c6e1b54c,Barca Residency Academy U16,Barca Residency Academy,u16,Male,,AZ,102,
d4affe04-839b-42d1-a2a2-c02e9d545d1a,Los Angeles SC U17,Los Angeles SC,u17,Male,,CA,858,
d69512d4-7cf2-4316-b0e8-46496235f777,Jacksonville FC U14,Jacksonville FC,u14,Male,,FL,name:jacksonville-fc,
fd82695b-6632-4491-88ca-07828e69d24b,St. Louis Development Academy U14,St. Louis Development Academy,u14,Male,,MO,1330,
7c199e44-a3e5-447e-bd0c-c7138a40862f,New York Elite Alleycats FC U14,New York Elite Alleycats FC,u14,Male,,NY,1279,
9c76e726-4d7a-4d45-ad66-0ac8cc209fba,St. Louis Scott Gallagher Illinois U14,St. Louis Scott Gallagher Illinois,u14,Male,,MO,1314,
04f1c78d-e904-49e8-b48b-bcb063500c20,Rhode Island Surf SC U14,Rhode Island Surf SC,u14,Male,,RI,1281,
5b75c851-79f0-4523-87c5-dbd4d37dc554,Sporting City U14,Sporting City,u14,Male,,MO,1328,
a9a13661-c75e-4423-a18c-a4f3d2da2061,Michigan Stars Elite U14,Michigan Stars Elite,u14,Male,,MI,1312,
d190595e-c1e0-4f01-9f82-587e9a8e394d,IFA West U14,IFA West,u14,Male,,MA,1263,
3aa6ece0-66b0-4b2c-bead-0b6a32aca202,Sporting Springfield U14,Sporting Springfield,u14,Male,,MO,1329,
a659806e-1299-4bd5-8b07-9d179ca95f6b,Ginga FC U14,Ginga FC,u14,Male,,CT,1276,
40545bcc-bbba-460f-8454-cd21895bb0b6,NEFC South U14,NEFC South,u14,Male,,MA,1277,
2bb94bbd-561d-4e9d-ad79-f18c228a54ec,PA Classics Harrisburg U14,PA Classics Harrisburg,u14,Male,,PA,1288,
86a49016-badb-49e6-9d51-3370b9c7ab92,PDA Hibernian U14,PDA Hibernian,u14,Male,,NJ,1289,
3a087072-b9aa-40cf-a75a-bf7122883a10,Seacoast United Mass U14,Seacoast United Mass,u14,Male,,MA,1265,
e78dba67-e5c0-461e-8274-16b9c6f860e9,Chattanooga FC U14,Chattanooga FC,u14,Male,,TN,1360,
6989b113-426e-4f03-92c0-554a0c400bb3,Hoover-Vestavia Soccer U16,Hoover-Vestavia Soccer,u16,Male,,AL,462,
213444e3-a1fd-4292-8829-6e64368765db,The St. James U16,The St. James,u16,Male,,VA,848,
945132ee-20ca-4525-b005-88c9aedd2c9b,Philadelphia Union U16,Philadelphia Union,u16,Male,,PA,21,
9b2e7104-d48f-4c27-8a54-ba45cc371477,Seacoast United Bedford U14,Seacoast United Bedford,u14,Male,,NH,1264,
19734efd-3fa3-4393-9bb2-00c27dfe98d9,Syracuse Development Academy U14,Syracuse Development Academy,u14,Male,,NY,1282,
04608f16-81e3-49e0-94bc-d07b1f4c256a,Atlantic United U14,Atlantic United,u14,Male,,GA,1286,
3e53a928-ea7a-433b-a079-27ce1bbb02c2,Sporting Blue Valley U14,Sporting Blue Valley,u14,Male,,KS,241,
8c6fb981-d0fd-432f-86a0-07ef2c8e3bd2,Valeo Futbol Club U16,Valeo Futbol Club,u16,Male,,MA,402,
98b71304-5291-403a-b171-d502ee6cfade,Tormenta FC Academy U16,Tormenta FC Academy,u16,Male,,GA,476,
3498dd71-a8d2-4150-b448-9907c945d871,Blau Weiss Gottschee U16,Blau Weiss Gottschee,u16,Male,,,32,
c50919d0-1352-4658-813a-dfe3fe832ae5,St. Louis Scott Gallagher U16,St. Louis Scott Gallagher,u16,Male,,MO,82,
efddda50-9a10-418a-9dd5-c1dd9b064bef,Downtown United Soccer Club U16,Downtown United Soccer Club,u16,Male,,NY,1143,
c23a0c40-244e-43c5-b7c6-b904469c63ae,Southern Soccer Academy,Southern Soccer Academy,u17,Male,,GA,event_68_Southern Soccer Academy,
9700f701-9eb0-44e1-b411-f28b3681e176,VfB Stuttgart,VfB Stuttgart,u16,Male,,,1218,
1581655e-1ce7-4fa0-9d9a-19dfd6ca1911,Deportivo Toluca F.C.,Deportivo Toluca F.C.,u16,Male,,,1223,
bc2fdc7a-87b1-427d-b419-25d9bea77271,Ulsan HD FC,Ulsan HD FC,u16,Male,,,1219,
d51d5d04-8071-486d-8a59-f2287405ab9e,FC Bayern Munich,FC Bayern Munich,u16,Male,,,1217,
cc80f78e-094f-4fc6-b590-81ecbd93b085,FC Tokyo,FC Tokyo,u16,Male,,,1224,
cb3df62c-5774-404e-8eaf-30c377c81a23,Toulouse FC,Toulouse FC,u16,Male,,,1220,
2cfcab11-0ff9-4296-b551-96ff74cf049b,PSV Eindhoven,PSV Eindhoven,u16,Male,,,1221,
755223b1-5c3e-4811-8b2d-ede087e9beaa,KRC Genk,KRC Genk,u16,Male,,,798,
