Provider Team ID,Master Team ID,Team Name,Club Name,Age Group,Gender,State Code,Match Method,Confidence,Division
961,319842c5-507f-4620-9413-70a9a93945cd,SPORTING BV MLS Next 13,Sporting Blue Valley,u13,Male,KS,manual,100.0%,N/A
241,319842c5-507f-4620-9413-70a9a93945cd,SPORTING BV MLS Next 13,Sporting Blue Valley,u13,Male,KS,manual,100.0%,N/A
334,5eb1307a-06fd-4760-80d5-5614e9605e0e,FC Cincinnati U13 MLS NEXT HD,FC Cincinnati,u13,Male,OH,manual,100.0%,N/A
1360,bcda5002-23d0-4877-bf2f-05a9ab461b4e,IGNORE - Chattanooga FC 2013B navy,Chattanooga Football Club Academy,u13,Male,TN,manual,100.0%,N/A
1076,ad47c36d-3852-4798-9960-0ee6009e5a8a,New Mexico Soccer Academy U13 MLS NEXT AD,New Mexico Soccer Academy,u13,Male,NM,manual,100.0%,N/A
273,a663f9f1-5914-44d0-a5fe-dba688a83404,Michigan Wolves 13 MLS NEXT AD,Michigan Wolves,u13,Male,MI,manual,100.0%,N/A
1287,50b82ed8-3fd3-424c-b302-3b4308cc2245,Coppermine SC 2013 Boys MLS Next AD,Coppermine Soccer Club,u13,Male,MD,manual,100.0%,N/A
137,2adee1c1-f866-4e5b-9e67-53e372a00ebb,Cedar Stars Academy Bergen U13 MLS NEXT AD,Cedar Stars Academy Bergen,u13,Male,NJ,manual,100.0%,N/A
1341,c9ddd683-2040-44ab-add7-556746a3087a,WFC Rangers B13 Gold,Whatcom FC Rangers,u13,Male,WA,manual,100.0%,N/A
16,f0998e77-a8ae-4fe4-85b7-ea93c635c6bd,Sockers FC Chicago U13 MLS NEXT AD,Sockers FC Chicago,u13,Male,IL,manual,100.0%,N/A
469,332e6409-f011-4fcf-8560-bac8f11de472,Louisiana TDP Elite U13 MLS NEXT HD,Louisiana TDP Elite,u13,Male,LA,manual,100.0%,N/A
name:southern-soccer-academy,24d829a5-590c-41b2-b678-3a9838520f6f,SSA Swarm 13B Pre MLS Next I...,Southern Soccer Academy,u13,Male,GA,manual,100.0%,N/A
10,c0bee7da-2204-4255-b076-c0242ad1033a,FC Dallas U12 North Academy 2013,FC Dallas,u13,Male,TX,manual,100.0%,N/A
866,f21c26ba-c81b-4c0a-9043-8401ca3c5bf6,AlphaForms 13,Forms Academy,u13,Male,TX,manual,100.0%,N/A
63,47a46ff8-19ae-47ea-9ab3-501953e412ef,PDA 2013 MLS NEXT HG,Players Development Academy,u13,Male,NJ,manual,100.0%,N/A
1075,07fa612e-60d2-4a91-8fc4-649bef6da6a8,Colorado Rapids Youth Soccer Club U13 MLS NEXT HD,Colorado Rapids Youth Soccer Club,u13,Male,CO,manual,100.0%,N/A
1139,21f1e1f6-22b3-45ef-a338-29627d3df7ec,MLS Next HD 13B,Keystone FC,u13,Male,PA,manual,100.0%,N/A
21,520601f0-47f4-42a9-abb2-3a88e7f080a8,Philadelphia Union Junior Academy 2013,Philadelphia Union,u13,Male,PA,manual,100.0%,N/A
138,47692d1e-4c7c-4c8d-bc23-24c2ba050d06,Cedar Stars Academy Monmouth U13 MLS NEXT HD,Cedar Stars Academy Monmouth,u13,Male,NJ,manual,100.0%,N/A
370,407e40d0-e647-4d8f-82a7-cda0d153bea5,Michigan Jaguars U13 MLS NEXT AD,Michigan Jaguars,u13,Male,MI,manual,100.0%,N/A
857,42f0300a-7638-495f-9611-e6ec578d9796,Capital City SC U13 MLS NEXT HD,Capital City SC,u13,Male,TX,manual,100.0%,N/A
902,d1eb8473-1259-45d4-88c6-a054edba500b,Seattle Celtic U13 MLS NEXT AD,Seattle Celtic,u13,Male,WA,manual,100.0%,N/A
455,c3344029-6f5f-4228-a05e-8d196213261c,AFC Lightning 13B Gold,AFC Lightning,u13,Male,GA,manual,100.0%,N/A
362,ff574641-ce34-49bd-9ce0-ae030abe6c5d,Austin FC U13,,u13,Male,TX,manual,100.0%,N/A
