modular11_club,modular11_club_normalized,modular11_team_id,modular11_ages,modular11_divisions,modular11_games,match_1_db_team_id,match_1_db_team_name,match_1_db_club,match_1_db_age,match_1_score,match_2_db_team_id,match_2_db_team_name,match_2_db_club,match_2_db_age,match_2_score,match_3_db_team_id,match_3_db_team_name,match_3_db_club,match_3_db_age,match_3_score,selected_db_team_id
Players Development Academy,players development,63,"U13, U14, U15, U16, U17","AD, HD",154,93d0d3da-dcfd-4fb2-9c2c-e39f87d9f302,Hibernian Elite 64 08B,Players Development Academy,u18,100,2bdd4489-35f1-4757-a0eb-026192d61991,Hibernian Danubia 2008,Players Development Academy,u18,100,357c48e2-eacc-405b-9bda-1c93fa32c91e,Hibernian Matthaus 2007/08,Players Development Academy,u18,100,
Vardar Soccer Club,vardar,43,"U13, U14, U15, U16, U17","AD, HD",153,9d5c37b0-d293-4241-9e3e-a68ac227c0f4,Vardar 2010 MLS Next Academy,Vardar Soccer,u16,100,954eda18-6a9b-4bf5-ae76-66d35caac9b0,Vardar 2013 MLS Next Homegrown,Vardar Soccer,u13,100,082e89c7-e2cb-44d1-8eb2-56b62e8acbf0,Vardar 08 MLS Next Homegrown,Vardar Soccer,u18,100,
PA Classics,pa classics,29,"U13, U14, U15, U16, U17","AD, HD",152,d6783230-5529-4c4e-be2b-3aa1dffdbfbe,PA Classics Elite Green Lancaster 16M,PA Classics,u10,100,5a0a08b7-4669-4465-a689-ae4f423dffaa,PA Classics Academy 14,PA Classics,u12,100,342d9c77-efee-4913-87e2-b77a377512a3,PA Classics Academy Reading 16M,PA Classics,u10,100,
Santa Barbara Soccer Club,santa barbara,394,"U13, U14, U15, U16, U17",HD,151,98c29691-f3d1-457d-b048-3f7b5cfada6d,Santa Barbara S.C. B2008 White,Santa Barbara Soccer Club,u18,100,0bf5fb7f-5d4e-4739-b885-043248ce3a9d,Santa Barbara SC White,Santa Barbara Soccer Club,u11,100,7ca87519-61b7-4991-a748-667f1ffcea3f,Santa Barbara Soccer Club 2010B MLS NEXT,Santa Barbara Soccer Club,u16,100,
Inter Miami CF,inter miami,335,"U13, U14, U15, U16, U17",HD,151,a4b2cab3-1262-452c-a709-14d7e55d4bfc,IMCF 2009B MLS,Inter Miami CF,u15,100,57bbe566-69df-43e6-b5ff-00ec61114405,IMCF U17,Inter Miami CF,u18,100,ea0f91d5-7504-4d44-8c4d-4dc4539677a9,IMCF 2010B MLS,Inter Miami CF,u14,100,
SoCal Reds FC,socal reds,566,"U13, U14, U15, U16, U17","AD, HD",150,ff9483cd-9b37-4518-bb63-7df78c46e567,B09 PREMIER - PB*,SoCal Reds FC,u17,100,e6199562-d5c5-4389-a11b-897d0619e7cd,B10 PREMIER - PB*,SoCal Reds FC,u16,100,25d375bf-f78f-41a6-a8b5-9abb820dd63a,B12 PREMIER - RK *,SoCal Reds FC,u14,100,
Orlando City Soccer School South,orlando city soccer school south,471,"U13, U14, U15, U16, U17","AD, HD",150,7237d786-795c-42e5-9c72-b65244cb5301,OCSS - Seminole 2011B Elite Purple,Orlando City Soccer School Seminole,u15,86.56716417910448,6c35827f-8ed4-49a6-842e-09f3c8b89ae0,OCSS - Seminole 2011B Elite,Orlando City Soccer School Seminole,u15,86.56716417910448,c27b1361-b3da-4c2c-9363-616aa741544d,OCSS - Seminole 2010B Elite,Orlando City Soccer School Seminole,u16,86.56716417910448,
Bethesda SC,bethesda,91,"U13, U14, U15, U16, U17","AD, HD",150,db4c9d6e-8bb8-4e08-9d7b-b7273fb7081b,Bethesda Academy II 2014,Bethesda SC,u12,100,2853203f-8a0d-4755-a261-d2f4655f7b61,Bethesda Academy I - Silver 2014,Bethesda SC,u12,100,93d2766c-bceb-4c12-8648-60c427f4f62e,Bethesda Academy III 2014,Bethesda SC,u12,100,
Real Futbol Academy,real futbol,401,"U13, U14, U15, U16, U17","AD, HD",150,b2cd8887-6d33-498c-bdf4-a7dec3aca89c,Real FA U16 MLS NEXT AD,Real Futbol Academy,u16,100,1a4e18ff-21a0-46fd-9d12-80f8c732bf04,Real FA U13 MLS NEXT AD,Real Futbol Academy,u13,100,7761d1cb-f9aa-45e3-92d9-6ce215ca0bee,Real FA 2015 Pre-MLS,Real Futbol Academy,u11,100,
Beadling SC,beadling,459,"U13, U14, U15, U16, U17","AD, HD",149,210a9f04-35dc-41b7-b232-f378c76b19e5,Beadling 2009 NAL,Beadling SC,u17,100,4c48e3bd-9f8b-42d0-ac4b-e0837122e6b9,Beadling 2009 Boys South RL GLA,Beadling SC,u17,100,b8244555-d6b5-4644-a9be-ad3b43e08b11,Beadling 2013 Boys South Black,Beadling SC,u13,100,
