modular11_id,modular11_club,modular11_team_names,modular11_games,confidence,db_team_id,db_team_name,db_age_group,approve
1145,Carolina Core FC,Carolina Core FC U13 HD | Carolina Core FC U14 HD | Carolina Core FC U15 HD,76,83.3,6ad4ae09-2bdc-4ac7-a7a3-aaadc8ba475a,Carolina FC 2009 Boys Blue,u17,
1145,Carolina Core FC,Carolina Core FC U13 HD | Carolina Core FC U14 HD | Carolina Core FC U15 HD,76,83.3,5fff3443-37ff-403e-ba01-9101bd028d47,Carolina FC 2015 Boys Blue,u11,
1145,Carolina Core FC,Carolina Core FC U13 HD | Carolina Core FC U14 HD | Carolina Core FC U15 HD,76,83.3,6488d2ba-f4ff-452d-a370-d64bcc0e9094,Carolina FC 2012 Girls Blue,u13,
1267,Capital City South,Capital City South U13 AD | Capital City South U14 AD | Capital City South U15 AD | Capital City South U16 AD | Capital City South U17 AD,69,83.3,a4fefedf-160b-4717-a6b0-5c12ac353317,Capital City Stars,u16,
941,GFI Academy North,GFI Academy North U13 AD | GFI Academy North U14 AD | GFI Academy North U15 AD | GFI Academy North U16 AD | GFI Academy North U17 AD,69,83.3,8a09ed56-930b-41c8-818f-e41725a5a5ad,G2012 Academy North,u14,
941,GFI Academy North,GFI Academy North U13 AD | GFI Academy North U14 AD | GFI Academy North U15 AD | GFI Academy North U16 AD | GFI Academy North U17 AD,69,83.3,8ba0c6fc-96b1-495a-a3cd-350a66a50e17,G2013 Academy North,u13,
941,GFI Academy North,GFI Academy North U13 AD | GFI Academy North U14 AD | GFI Academy North U15 AD | GFI Academy North U16 AD | GFI Academy North U17 AD,69,83.3,79a44ac8-1fe3-43d9-8439-2c3f91bc7593,G2014 Academy North,u12,
58,Columbus Crew,Columbus Crew U15 HD | Columbus Crew U16 HD | Columbus Crew U17 HD,47,83.3,e9e7a2ca-0aa6-4229-86ba-d75e9baf3a81,FC Columbus 2009 Boys,u17,
58,Columbus Crew,Columbus Crew U15 HD | Columbus Crew U16 HD | Columbus Crew U17 HD,47,83.3,83c45adb-fadc-4b9d-988e-d1580b568073,FC Columbus 2011 Boys,u15,
585,NONA Soccer Academy,NONA Soccer Academy U13 AD | NONA Soccer Academy U14 AD | NONA Soccer Academy U15 AD | NONA Soccer Academy U16 AD | NONA Soccer Academy U17 AD,46,83.3,e5dee87d-d6bd-4bbf-a962-6675209ff80d,Conval Soccer 2010 Boys U15,u16,
