team_id_master,team_name,club_name,alias,division,age_group,gender,state_code,state,birth_year,is_deprecated,provider_id,modular11_alias
d30ddbfc-41c9-4ac0-b328-7044c5da1265,2011 Boys Blue,Association Football Club,363226,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
dde2acb8-ad59-42f6-bd19-83a9f22c20fd,Association FC ECNL RL B11,Association Football Club,,,u15,Male,CA,,,FALSE,ea79aa6e-679f-4b5b-92b1-e9f502df7582,
9a1e21a6-5636-40c1-8abf-a49f3d28ffff,Association FC ECNL B11,Association Football Club,80637,,u15,Male,CA,California,,FALSE,ea79aa6e-679f-4b5b-92b1-e9f502df7582,
8ec9682e-a7fb-4d2d-a733-ecd09db37617,Atlante  B2011,Atlante San Diego FC,,,u15,Male,CA,California,,FALSE,ea79aa6e-679f-4b5b-92b1-e9f502df7582,
b987b25e-0466-4d30-9fa3-fa8c8a88387a,Castillo 2011,Atlante San Diego FC,,,u15,Male,CA,California,,FALSE,ea79aa6e-679f-4b5b-92b1-e9f502df7582,
84b0814a-5242-4bbe-b51e-8d6dd9e0c1b1,MLS NEXT 2011,Atletico Santa Rosa,391171,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
bbc6d76c-62eb-4a24-a29c-c5152b52bf02,MLS Next Tier 2 2011,Atletico Santa Rosa,648838,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
3d1b2669-0a95-4b43-bd3d-16a410584e32,Atletico Santa Rosa U15 AD,Atletico Santa Rosa,457_U15_AD,AD,u15,Male,CA,California,,FALSE,b376e2a4-4b81-47be-b2aa-a06ba0616110,
42953c71-8d09-4ef5-8d70-f4b1c3401bac,Atletico Santa Rosa U15,Atletico Santa Rosa,457_U15,,u15,Male,CA,California,,FALSE,b376e2a4-4b81-47be-b2aa-a06ba0616110,
3c331d8f-4e9d-48e2-bf89-7d5f9e4cfdde,Atletico Santa Rosa Real Madrid,Atletico Santa Rosa,114665,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
8b22173e-ecc0-4716-add0-4eb072c7a44c,Atletico Santa Rosa Atletico Madrid 2011,Atletico Santa Rosa,116697,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
c643dacf-1260-4d7d-8a6e-c8582dac216a,2011 Legends SFV,Atletico Southern California,319908,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
eacbd5c0-7a2f-4bd0-b9f0-4cf100bc15bb,2011B Atletico,Atletico United FC,507146,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
36e8cace-66f7-4cb1-9537-70f7b868f797,Kaos 2011B White Hernandez,Atwater Kaos Futbol Club,458438,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
46046e12-3895-42d2-9f70-c242404aeaec,Audax 2011B Orange,Audax Soccer Club,516016,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
07d911fe-1eb0-4520-867c-1e68421b9e89,Autobahn SC B11 Blue,Autobahn SC,414174,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
0d0c5b8a-28ad-48c7-bfa4-130dfe8aec0e,Pacific Coast SC B11 Gold,Autobahn SC,645334,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
f78e6228-6da7-4844-94b7-277176f8d056,SC B12 Gold,Autobahn Soccer Club,,,u15,Male,CA,California,,FALSE,ea79aa6e-679f-4b5b-92b1-e9f502df7582,
27b0e1ef-9454-47cf-bd5d-87b66c7b6dc6,14UB - McCluskey - Fury,AYSO A2C Alliance,576872,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
131cfa83-f377-45f2-a6d4-0ec0b35db651,14UB - Ortega - Outkast,AYSO A2C Alliance,576871,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
2aada46d-9237-4741-9147-b2ca28800411,14UB - Ortega - Knights,AYSO A2C Alliance,576870,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
7d2103b8-1f47-45b1-8a0d-09f10902bba7,AYSO United South Bay White B2011,AYSO United,486606,,u15,Male,CA,California,2011,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
30c49bb9-667f-4d03-b58c-0362857f1101,B2011 Blue,AYSO United,,,u15,Male,CA,California,,FALSE,ea79aa6e-679f-4b5b-92b1-e9f502df7582,
43a86394-63b8-47d7-8f25-65446a0de291,AYSO UNITED B2011 PACIFIC (BLACK),AYSO United,114622,,u15,Male,CA,California,,FALSE,ea79aa6e-679f-4b5b-92b1-e9f502df7582,
62bc0834-f02b-4a71-be1d-c7e9d5a40e9b,Rancho Conejo,AYSO United,119464,,u15,Male,CA,California,,FALSE,ea79aa6e-679f-4b5b-92b1-e9f502df7582,
1d11058c-ee8b-40d9-bbdc-e345cd82f940,AYSO United Bay Area 2011 Boys Red,AYSO United Bay Area,111082,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
38aed8bb-1348-4998-80d5-3d9df62784c6,2011B Blue,AYSO United Davis,253107,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
af26fe03-4649-44d9-86a9-0fd1d440a195,2011B White,AYSO United Davis,253108,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
b29decd2-0641-4e46-94ca-0cea33fabec0,Azusa Aztecs B2011,Azusa Aztecs FC,248340,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
428f0add-5442-4b97-ade4-4a4cd3f5351a,11B White.,Azzurri FC,629568,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
b5392f7b-6a46-4c79-ad08-620c2a38eeb7,BUSC 2011 Elite 1,Ballistic United,76897,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
1ba93801-4925-4910-8de5-5a810d03b645,BUSC 2011 Elite 2,Ballistic United,76898,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
725adbf4-401e-4f32-818b-ed575b88208c,BUSC 2011 Premier,Ballistic United,76896,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
df4d2774-b1c3-4aee-bbae-b3bfa4c170da,BUSC 2011/12 Select Gold,Ballistic United,76938,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
3e1a6d04-e807-4da9-a69e-69fdcefdfbc4,Ballistic United U15 HD,Ballistic United,105_U15_HD,HD,u15,Male,CA,,,FALSE,b376e2a4-4b81-47be-b2aa-a06ba0616110,
e1f8cb47-db6f-48a2-ae32-893c89b7d25d,BUSC 2011 MLS Tier 2,Ballistic United,656234,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
9b53ecb0-6b90-41f6-b371-23e7924f5518,Ballistic United U15 AD,Ballistic United,105_U15_AD,AD,u15,Male,CA,,,FALSE,b376e2a4-4b81-47be-b2aa-a06ba0616110,
a961513e-8a30-45cc-94b1-f099cd5c794a,11B Academy 1,Bay Area Surf,267485,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
ba90b0c9-e9e5-43e1-8201-093ce40e7697,2011 MLS 2,Bay Area Surf,529724,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
ed8fb820-32a1-4773-93c1-6746e4f83d96,Bay Area Surf 11B MLS Next,Bay Area Surf,119120,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
